	model	type	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	object	1.0	0.24501948896795517	0.25936915725469584	0.0143496682867407	0.24501948896795514
1	distilbert/distilgpt2	subject	1.0	0.13523410260677338	0.42944884300231934	0.29421474039554596	0.13523410260677338
