	model	type	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	object	3	0.3859328031539917	0.0103701837360858	0.3755626194179059	True
1	distilbert/distilgpt2	object	4	0.1328055113554	0.0183291528373956	0.1144763585180044	True
2	distilbert/distilgpt2	subject	1	0.4601242840290069	0.2410086393356323	0.2191156446933746	True
3	distilbert/distilgpt2	subject	2	0.3987734019756317	0.3474208414554596	0.05135256052017212	True
